competitorname,chocolate,fruity,caramel,peanutalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,73.199999,86.000001,66.971725
3 Musketeers,1,0,0,0,1,0,0,1,0,60.399997000000006,51.099998,67.602936
One dime,0,0,0,0,0,0,0,0,0,1.0999999999999999,11.600000000000001,32.261086
One quarter,0,0,0,0,0,0,0,0,0,1.0999999999999999,51.099998,46.116505
Air Heads,0,1,0,0,0,0,0,0,0,90.600002,51.099998,52.341465
Almond Joy,1,0,0,1,0,0,0,1,0,46.5,76.700002,50.347546
Baby Ruth,1,0,1,1,1,0,0,1,0,60.399997000000006,76.700002,56.914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,31.299999,51.099998,23.417824
Candy Corn,0,0,0,0,0,0,0,0,1,90.600002,32.499999,38.010963
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,60.399997000000006,32.499999,34.517681
Charleston Chew,1,0,0,0,1,0,0,1,0,60.399997000000006,51.099998,38.975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,73.199999,51.099998,36.017628
Chiclets,0,1,0,0,0,0,0,0,1,4.6,32.499999,24.524988
Dots,0,1,0,0,0,0,0,0,1,73.199999,51.099998,42.272076
Dum Dums,0,1,0,0,0,0,1,0,0,73.199999,3.4000002,39.460556
Fruit Chews,0,1,0,0,0,0,0,0,1,12.7,3.4000002,43.088924
Fun Dip,0,1,0,0,0,0,1,0,0,73.199999,32.499999,39.185505
Gobstopper,0,1,0,0,0,0,1,0,1,90.600002,45.300001,46.783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,46.5,46.5,57.11974
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,46.5,46.5,34.158958
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,46.5,46.5,51.41243
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,46.5,46.5,42.178772
Hershey's Kisses,1,0,0,0,0,0,0,0,1,12.7,9.3000002,55.375454
Hershey's Krackel,1,0,0,0,0,1,0,1,0,43.000001,91.799998,62.284481
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,43.000001,91.799998,56.490501
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,43.000001,91.799998,59.236122
Jawbusters,0,1,0,0,0,0,1,0,1,9.3000002,51.099998,28.127439
Junior Mints,1,0,0,0,0,0,0,0,1,19.7,51.099998,57.21925
Kit Kat,1,0,0,0,0,1,0,1,0,31.299999,51.099998,76.7686
Laffy Taffy,0,1,0,0,0,0,0,0,0,22.0,11.600000000000001,41.389557
Lemonhead,0,1,0,0,0,0,1,0,0,4.6,10.4,39.141056
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,26.699999000000002,27.900001000000003,52.911392
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,82.499999,65.100002,71.46505
M&M's,1,0,0,0,0,0,0,0,1,82.499999,65.100002,66.574585
Mike & Ike,0,1,0,0,0,0,0,0,1,87.199998,32.499999,46.411716
Milk Duds,1,0,1,0,0,0,0,0,1,30.199999,51.099998,55.064072
Milky Way,1,0,1,0,1,0,0,1,0,60.399997000000006,65.100002,73.099556
Milky Way Midnight,1,0,1,0,1,0,0,1,0,73.199999,44.100001,60.800701
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,96.49999700000001,86.000001,64.35334
Mounds,1,0,0,0,0,0,0,1,0,31.299999,86.000001,47.829754
Mr Good Bar,1,0,0,1,0,0,0,1,0,31.299999,91.799998,54.526451
Nerds,0,1,0,0,0,0,1,0,1,84.799999,32.499999,55.354046
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,60.399997000000006,76.700002,70.735641
Nestle Crunch,1,0,0,0,0,1,0,1,0,31.299999,76.700002,66.47068
Nik L Nip,0,1,0,0,0,0,0,0,1,19.7,97.600001,22.445341
Now & Later,0,1,0,0,0,0,0,0,1,22.0,32.499999,39.4468
Payday,0,0,0,1,1,0,0,1,0,46.5,76.700002,46.296597
Peanut M&Ms,1,0,0,1,0,0,0,0,1,59.299999,65.100002,69.483788
Pixie Sticks,0,0,0,0,0,0,0,0,1,9.3000002,2.3,37.722336
Pop Rocks,0,1,0,0,0,0,1,0,1,60.399997000000006,83.700001,41.265511
Red vines,0,1,0,0,0,0,0,0,1,58.099997,11.600000000000001,37.348522
Reese's Miniatures,1,0,0,1,0,0,0,0,0,3.4000002,27.900001000000003,81.866257
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,72.000003,65.100002,84.18029
Reese's pieces,1,0,0,1,0,0,0,0,1,40.599999,65.100002,73.43499
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,98.799998,65.100002,72.887901
Ring pop,0,1,0,0,0,0,1,0,0,73.199999,96.49999700000001,35.290756
Rolo,1,0,1,0,0,0,0,0,1,86.000001,86.000001,65.716286
Root Beer Barrels,0,0,0,0,0,0,1,0,1,73.199999,6.899999800000001,29.703691
Runts,0,1,0,0,0,0,1,0,1,87.199998,27.900001000000003,42.849144
Sixlets,1,0,0,0,0,0,0,0,1,22.0,8.1,34.722
Skittles original,0,1,0,0,0,0,0,0,1,94.099998,22.0,63.08514
Skittles wildberry,0,1,0,0,0,0,0,0,1,94.099998,22.0,55.103695
Nestle Smarties,1,0,0,0,0,0,0,0,1,26.699999000000002,97.600001,37.887188
Smarties candy,0,1,0,0,0,0,1,0,1,26.699999000000002,11.600000000000001,45.995827
Snickers,1,0,1,1,1,0,0,1,0,54.6,65.100002,76.673782
Snickers Crisper,1,0,1,1,0,1,0,1,0,60.399997000000006,65.100002,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,6.899999800000001,11.600000000000001,59.863998
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,6.899999800000001,11.600000000000001,52.825947
Starburst,0,1,0,0,0,0,0,0,1,15.099999,22.0,67.037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,56.900001,5.7999998,34.578991
Sugar Babies,0,0,1,0,0,0,0,0,1,96.49999700000001,76.700002,33.43755
Sugar Daddy,0,0,1,0,0,0,0,0,0,41.800000999999995,32.499999,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,16.2,11.600000000000001,27.303865
Swedish Fish,0,1,0,0,0,0,0,0,1,60.399997000000006,75.5,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,60.399997000000006,32.499999,48.982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,31.299999,51.099998,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,17.399999,1.0999999999999999,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,46.5,32.499999,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,31.299999,25.5,47.173229
Twix,1,0,1,0,0,1,0,1,0,54.6,90.600002,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,22.0,11.600000000000001,45.466282
Warheads,0,1,0,0,0,0,1,0,0,9.3000002,11.600000000000001,39.011898
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,31.299999,31.299999,44.375519
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,18.6,26.699999000000002,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,87.199998,84.799999,49.524113
